title,body,rating,review_date,reviewer_name,reviewer_email,product_url,picture_urls,product_id,product_handle
"Bra koja","Enkel, praktisk och mysig för katten.","5","08/09/2026","Karin","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Skönt att katten har en torr plats ute.","5","08/09/2026","Erik","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Katten tycker mycket om den. Väldigt nöjd.","5","08/09/2026","Linda","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Bra kvalitet och enkel att sätta på plats.","5","08/09/2026","Anders","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Mysig liten koja som känns bra att ha ute.","5","08/09/2026","Sofia","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Katten har börjat sova i den varje dag.","5","08/09/2026","Emma","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Lätt att använda och lagom stor för katten.","5","08/09/2026","Johan","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Bra skydd mot vind och regn. Katten trivs.","5","08/09/2026","Maria","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","En enkel och bra koja för katten ute.","5","08/09/2026","Lars","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra koja","Katten gillar den direkt. Känns varm och mysig.","5","08/09/2026","Anna","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra kattehus","Enkel, praktisk og koselig for katten.","5","08/09/2026","Karin","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra kattehus","Godt at katten har en tørr plass ute.","5","08/09/2026","Erik","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra kattehus","Katten liker den godt. Veldig fornøyd.","5","08/09/2026","Linda","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra kattehus","Bra kvalitet og enkelt å sette på plass.","5","08/09/2026","Anders","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra kattehus","Koselig lite kattehus som er godt å ha ute.","5","08/09/2026","Sofia","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
"Bra kattehus","Katten har begynt å sove i det hver dag.","5","08/09/2026","Emma","","https://catcabin.se/products/utekattkojan","","15269032165744","utekattkojan"
